City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
333,Fomboni,KM,-12.28,43.7425,82.4,78,99,11.39,moderate rain
334,Khandyga,RU,62.6667,135.6,1.83,82,57,2.95,broken clouds
335,Vila Velha,BR,-20.3297,-40.2925,77.0,78,75,5.75,broken clouds
336,Darlowo,PL,54.421,16.4107,39.99,84,100,25.7,overcast clouds
337,Tabou,CI,4.423,-7.3528,78.57,88,9,5.08,clear sky
338,Te Anau,NZ,-45.4167,167.7167,57.45,67,87,7.65,overcast clouds
339,Mount Isa,AU,-20.7333,139.5,86.0,42,40,12.66,scattered clouds
340,Batticaloa,LK,7.7102,81.6924,79.83,80,69,3.24,broken clouds
341,Villanueva,HN,15.3167,-88.0,71.01,91,100,2.62,overcast clouds
342,Tautira,PF,-17.7333,-149.15,86.0,70,20,12.66,few clouds
343,Axim,GH,4.8699,-2.2405,78.93,89,100,5.3,overcast clouds
344,Bassar,TG,9.25,0.7833,81.43,37,44,2.8,scattered clouds
345,Sinnamary,GF,5.3833,-52.95,76.86,92,100,9.8,overcast clouds
346,Anadyr,RU,64.75,177.4833,-2.0,71,0,6.71,clear sky
347,Cairns,AU,-16.9167,145.7667,86.0,62,75,12.66,broken clouds
348,Puerto Penasco,MX,31.3167,-113.5333,72.0,63,30,4.0,scattered clouds
349,Catumbela,AO,-12.4314,13.5472,78.94,84,76,3.06,broken clouds
350,Salalah,OM,17.0151,54.0924,77.0,73,0,2.3,clear sky
351,Pangai,TO,-19.8,-174.35,80.6,74,75,6.91,light rain
352,Kidal,ML,18.4411,1.4078,78.49,6,73,5.99,broken clouds
353,Fairbanks,US,64.8378,-147.7164,30.2,59,75,20.71,light snow
354,Huarmey,PE,-10.0681,-78.1522,72.54,78,9,3.47,clear sky
355,Tilichiki,RU,60.4667,166.1,17.96,83,100,13.69,overcast clouds
356,Agadez,NE,19.75,10.25,68.81,12,0,3.29,clear sky
357,Walvis Bay,NA,-22.9575,14.5053,64.0,89,93,5.99,overcast clouds
358,Raga,SS,8.4596,25.678,73.94,20,80,3.42,broken clouds
359,Gopalpur,IN,19.2667,84.9167,80.47,79,1,2.19,clear sky
360,Adrar,MR,20.5022,-10.0711,75.34,12,4,10.71,clear sky
361,Veraval,IN,20.9,70.3667,78.4,73,0,5.79,clear sky
362,Kirando,TZ,-7.4167,30.6,70.93,84,100,6.2,moderate rain
363,Abnub,EG,27.2696,31.1511,55.4,50,0,9.22,clear sky
364,Turukhansk,RU,65.8167,87.9833,32.43,95,100,14.63,overcast clouds
365,Vostok,RU,46.4856,135.8833,42.04,38,8,7.29,clear sky
366,Thunder Bay,CA,48.4001,-89.3168,42.8,65,75,11.5,broken clouds
367,Agadir,MA,30.4202,-9.5982,55.4,94,4,5.75,clear sky
368,Tulu Bolo,ET,8.6667,38.2167,58.82,58,23,3.42,few clouds
369,Egvekinot,RU,66.3167,-179.1667,-1.43,82,20,3.06,few clouds
370,Okha,RU,53.5739,142.9478,21.88,66,5,11.27,clear sky
371,Pishin,PK,30.5803,66.9961,62.22,50,100,1.9,overcast clouds
372,Morgan City,US,29.6994,-91.2068,61.0,88,1,1.41,clear sky
373,Atascadero,US,35.4894,-120.6707,62.01,68,98,4.0,overcast clouds
374,Castro,BR,-24.7911,-50.0119,56.7,98,64,8.12,broken clouds
375,Tromso,NO,69.6496,18.957,26.6,68,20,3.44,few clouds
376,Saint-Augustin,CA,51.226,-58.6502,35.92,99,100,19.75,overcast clouds
377,Tual,ID,-5.6667,132.75,83.8,72,32,5.97,scattered clouds
378,Vernon,CA,50.2581,-119.2691,48.0,39,51,5.75,broken clouds
